=== Moccasin CLI Profiling Report ===

Command: compile profiling/contracts/counter.vy --no-install
Profiling report generated at 2025-07-15

### Cumulative Stats ###
         1957091 function calls (1871506 primitive calls) in 1.012 seconds

   Ordered by: cumulative time
   List reduced from 6833 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8020    0.006    0.000    0.021    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/fields/optimized_field_elements.py:428(__init__)
     7414    0.005    0.000    0.033    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/fields/optimized_field_elements.py:461(__init__)
     1101    0.005    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
91029/88885    0.005    0.000    0.006    0.000 {built-in method builtins.len}
 1832/144    0.005    0.000    0.014    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/re/_compiler.py:37(_compile)
     3377    0.005    0.000    0.016    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/typing.py:168(_type_check)
     7414    0.005    0.000    0.005    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/fields/optimized_field_elements.py:465(<listcomp>)
     9519    0.005    0.000    0.010    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/fields/optimized_field_elements.py:112(__sub__)
1968/1934    0.005    0.000    0.030    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/copy.py:259(_reconstruct)
     2202    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
     9977    0.004    0.000    0.009    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/typing.py:1320(__setattr__)
     8434    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    67047    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     8434    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
  1897/14    0.004    0.000    0.039    0.003 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/copy.py:227(_deepcopy_dict)
   1223/2    0.004    0.000    0.990    0.495 <frozen importlib._bootstrap>:1165(_find_and_load)
      150    0.004    0.000    0.055    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/dataclasses.py:884(_process_class)
